Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability
German,PostDoc,konferenz,52,9,38,5,0.26861374667630744,0.5795617059159738,0.1518245426436456
German,PostDoc,kopf,51,30,14,7,0.5303541755705488,0.28245829549782414,0.18718753265691734
German,PostDoc,kritik,67,48,16,3,0.6206761218273817,0.30283011023455586,0.0764937708432327
German,PostDoc,land,121,55,58,8,0.46334826626068304,0.4040272955682652,0.1326244365316161
German,PostDoc,lehre,127,39,71,17,0.34037904350424375,0.4576498541218324,0.20197110711853566
German,PostDoc,leistung,69,18,40,11,0.34548918557339814,0.45878517697902693,0.1957256363947754
German,PostDoc,leute,232,115,99,18,0.47494668068749635,0.3943012921091426,0.13075202980464126
German,PostDoc,lösung,78,31,40,7,0.39081678307877904,0.4491456219783196,0.16003759358173758
German,PostDoc,mensch,187,92,75,20,0.4778100344984927,0.37927670035770233,0.142913266528338
German,PostDoc,mitarbeiter,102,39,60,3,0.4078751797696539,0.48949869585168715,0.10262612534650398
German,PostDoc,mittel,57,15,38,4,0.370018133926287,0.5089696930035165,0.12101217998159033
German,PostDoc,mittelbau,155,59,84,12,0.40573934025822145,0.44874436732742096,0.1455162917834616
German,PostDoc,monat,163,61,89,13,0.3736532565000598,0.46528522837107167,0.16106151211206893
German,PostDoc,möglichkeit,67,22,40,5,0.3549021017918391,0.4655780241782986,0.17951987093008717
German,PostDoc,nachwuchs,141,61,73,7,0.42049902775291853,0.43580676291587084,0.14369420565876126
German,PostDoc,person,93,30,58,5,0.39178327959711834,0.501614152103342,0.10660256745834501
German,PostDoc,personal,85,33,49,3,0.4475330017068807,0.44770635064033903,0.10476064970168993
German,PostDoc,perspektive,176,49,103,24,0.320231287443841,0.48251334044405003,0.19725537630835205
German,PostDoc,politik,98,46,46,6,0.44185021842772865,0.44769966359041174,0.1104501148077602
German,PostDoc,position,76,22,47,7,0.3351343650811989,0.5209481845560827,0.1439174507793627
German,PostDoc,post,57,16,39,2,0.33808523351163194,0.5432359916076326,0.11867877419449777
German,PostDoc,postdoc,226,61,153,12,0.33367684213197335,0.5389674715368094,0.12735568408120784
German,PostDoc,problem,367,279,81,7,0.6322593533964346,0.30727755596064416,0.06046309347241625
German,PostDoc,prof,89,37,46,6,0.4176936929815271,0.42980220759015403,0.15250409604835038
German,PostDoc,professor,164,71,78,15,0.4367146129015742,0.4136843273825035,0.14960106270864784
German,PostDoc,professur,226,86,121,19,0.42521874652763386,0.45286997095310844,0.12191128376788925
German,PostDoc,projekt,144,31,94,19,0.28418335167225445,0.5225592193504175,0.19325743239217746
German,PostDoc,promotion,229,48,170,11,0.29639260945068957,0.5644171072991654,0.13919028570655909
German,PostDoc,publikation,56,20,33,3,0.3641205746680498,0.5180349362614963,0.11784448744063926
German,PostDoc,qualifikation,65,23,41,1,0.38760990494718917,0.5117326303170278,0.10065745974962524
German,PostDoc,realität,61,29,30,2,0.4881562518536067,0.4112006847853543,0.10064306801765176
German,PostDoc,reform,52,16,35,1,0.4104614621744706,0.43086056576038784,0.15867797874559
German,PostDoc,sache,73,40,25,8,0.49347398348458826,0.334569028387331,0.17195698625267775
German,PostDoc,sauerei,67,67,0,0,0.9613400546472464,0.02683175822247315,0.011828139466025008
German,PostDoc,semester,54,19,31,4,0.38269805245929295,0.45027040096896664,0.16703154629579295
German,PostDoc,situation,120,57,51,12,0.4768020642610888,0.39372751271973055,0.12947042211114115
German,PostDoc,stelle,272,89,161,22,0.383626701995073,0.4629623530199751,0.15341094462200996
