Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,PostDoc,innovation,113,40,45,28,0.3731528566078802,0.4029381365342214,0.2239090073606477,nachwuchs
German,Professor,innovation,70,22,33,15,0.3794512543295111,0.3922586979078395,0.2282900435583932,nachwuchs
German,Others,jahr,577,158,356,63,0.3317034246797061,0.4902833336625293,0.1780132428037593,jahr
German,PD,jahr,112,39,60,13,0.3557694908231497,0.4839973546830671,0.1602331584519041,jahr
German,PhD Student,jahr,284,83,171,30,0.3480609032902603,0.4723236694092482,0.1796154264019618,jahr
German,PostDoc,jahr,894,249,555,90,0.3420411281358509,0.4809610150708615,0.1769978563630457,jahr
German,Professor,jahr,690,215,413,62,0.3509794304538787,0.4781390544459007,0.1708815136222519,jahr
German,Unknown,jahr,648,197,386,65,0.355029829363856,0.4712859752220044,0.1736841944670074,jahr
German,Others,karriere,100,33,59,8,0.3631520283967256,0.4919063764438033,0.1449415968172251,arbeit
German,PostDoc,karriere,187,55,114,18,0.3539079896268997,0.4751575304404459,0.1709344805950388,arbeit
German,Professor,karriere,142,51,85,6,0.3710446037011037,0.4897205829095672,0.1392348134877081,arbeit
German,Unknown,karriere,98,44,51,3,0.4332323981334968,0.4467873054043371,0.1199802903895627,arbeit
German,Others,kind,75,35,34,6,0.4482118235031764,0.4135193242132663,0.1382688541089494,mensch
German,PostDoc,kind,173,73,88,12,0.459215552519167,0.4064137803853592,0.1343706724303908,mensch
German,Professor,kind,93,39,45,9,0.4421604987113706,0.4199954720153924,0.1378440276008619,mensch
German,Unknown,kind,104,57,41,6,0.5173207290040759,0.3635056921854042,0.119173581774633,mensch
German,Others,kollege,127,35,69,23,0.3421408475970658,0.4302979564279552,0.2275611960629778,deutschland
German,PostDoc,kollege,143,53,69,21,0.3767232246228031,0.4407845634341865,0.1824922080353631,deutschland
German,Professor,kollege,135,54,57,24,0.412279542632125,0.3802865289427616,0.207433930253265,deutschland
German,Unknown,kollege,87,34,39,14,0.4145152196074012,0.3768301060230568,0.2086546657307223,deutschland
German,Others,kommentar,52,25,22,5,0.4751962083033644,0.3671766451488321,0.1576271475686763,forschung
German,PostDoc,kommentar,59,30,21,8,0.4467725682119697,0.376463639186853,0.1767637936587808,forschung
German,Professor,kommentar,54,24,20,10,0.4428324528659383,0.3597111705414675,0.1974563734881855,forschung
German,Others,land,135,47,82,6,0.3924205009584073,0.481999655675005,0.1255798445048707,deutschland
German,PostDoc,land,121,55,58,8,0.463348266260683,0.4040272955682652,0.1326244365316161,deutschland
German,Professor,land,108,44,60,4,0.4393927766079152,0.4532055227361895,0.1074017005006747,deutschland
German,Unknown,land,72,35,28,9,0.5109683899208903,0.3551517478190362,0.1338798636958623,deutschland
German,Others,lehre,72,23,44,5,0.3821933523544835,0.4455177492151658,0.1722889003188659,forschung
German,PostDoc,lehre,127,39,71,17,0.3403790435042437,0.4576498541218324,0.2019711071185356,forschung
German,Professor,lehre,127,50,60,17,0.3930846324234497,0.3997544097149466,0.2071609600029123,forschung
German,Others,leute,116,59,46,11,0.4827068664840069,0.3754032674598797,0.1418898711061297,forschung
German,PD,leute,56,42,13,1,0.5933350153001291,0.3138445686948086,0.0928204070909746,forschung
German,PhD Student,leute,57,32,17,8,0.5328251369166792,0.3076442051352116,0.1595306499746807,forschung
German,PostDoc,leute,232,115,99,18,0.4749466806874963,0.3943012921091426,0.1307520298046412,forschung
German,Professor,leute,203,86,76,41,0.4292943741887661,0.354795589052104,0.2159100361718919,forschung
German,Unknown,leute,157,84,60,13,0.4934929638365462,0.3615220944592907,0.1449849464497558,forschung
German,Others,mensch,218,107,91,20,0.478966971338137,0.3741706291538313,0.146862402571143,mensch
German,PhD Student,mensch,73,39,27,7,0.468682631901274,0.3893253732829878,0.1419919913711204,mensch
German,PostDoc,mensch,187,92,75,20,0.4778100344984927,0.3792767003577023,0.142913266528338,mensch
German,Professor,mensch,170,84,69,17,0.4692670101738151,0.3798226916833835,0.1509102973046109,mensch
German,Unknown,mensch,213,107,89,17,0.5103789099400312,0.3575502350366731,0.1320708544942344,mensch
German,Others,mitarbeiter,93,16,73,4,0.2932893958703804,0.5914965796294391,0.1152140266832805,arbeit
German,PostDoc,mitarbeiter,102,39,60,3,0.4078751797696539,0.4894986958516871,0.1026261253465039,arbeit
German,Professor,mitarbeiter,82,25,51,6,0.358070993069105,0.5160964697871994,0.1258325366326039,arbeit
